"Municípios","UF","Valor Total","Valor de Serviços Hospitalares","Valor de Serviços Profissionais","População"
"Piatã (BA)","BA","12.638,63","10.863,49","1.775,14","16.017"
"Santa Cecília do Pavão (PR)","PR","11.621,23","9.624,49","1.996,74","3.029"
"Vila Nova do Piauí (PI)","PI","10.239,26","9.058,36","1.180,90","2.772"
"Santa Quitéria do Maranhão (MA)","MA","13.033,99","8.807,85","4.226,14","25.032"
"Cândido Mendes (MA)","MA","9.809,91","8.390,90","1.419,01","19.682"
"Santa Filomena (PI)","PI","9.845,50","7.809,45","2.036,05","6.006"
"Palhano (CE)","CE","10.295,47","7.307,89","2.987,58","9.014"
"Itirapina (SP)","SP","8.769,99","7.170,93","1.599,06","17.784"
"Palma Sola (SC)","SC","10.888,14","7.114,42","3.773,72","6.872"
"Caxambu do Sul (SC)","SC","8.457,14","6.928,74","1.528,40","3.202"
"Planaltina do Paraná (PR)","PR","10.608,35","6.927,97","3.680,38","4.036"
"Barro Alto (BA)","BA","7.874,15","6.561,68","1.312,46","14.469"
"Santa Juliana (MG)","MG","8.072,82","6.503,53","1.569,29","13.853"
"Biritinga (BA)","BA","9.307,94","6.469,40","2.838,54","15.308"
"Pedro Avelino (RN)","RN","9.369,75","6.391,19","2.978,56","6.266"
"Mendonça (SP)","SP","7.430,46","6.311,16","1.119,30","5.302"
"Carinhanha (BA)","BA","8.866,99","6.257,77","2.609,22","28.034"
"Aracitaba (MG)","MG","7.081,73","6.124,36","957,37","1.897"
"Pires Ferreira (CE)","CE","8.044,94","6.117,14","1.927,80","10.462"
"Nossa Senhora dos Remédios (PI)","PI","6.733,22","6.038,08","695,14","8.431"
"Matipó (MG)","MG","7.139,43","5.888,75","1.250,68","18.225"
"Humberto de Campos (MA)","MA","8.855,34","5.785,88","3.069,46","28.254"
"Amaraji (PE)","PE","8.111,35","5.715,31","2.396,04","21.967"
"Saldanha Marinho (RS)","RS","8.179,80","5.698,82","2.480,98","2.399"
"Conceição do Lago-Açu (MA)","MA","8.564,41","5.693,66","2.870,75","16.128"
"Barracão (RS)","RS","7.066,45","5.677,49","1.388,96","4.876"
"Padre Marcos (PI)","PI","6.185,96","5.544,60","641,36","6.541"
"São Sebastião do Rio Verde (MG)","MG","8.362,40","5.523,86","2.838,54","2.103"
"Carvalhos (MG)","MG","8.325,62","5.487,08","2.838,54","4.109"
"Serrinha (RN)","RN","7.928,21","5.347,08","2.581,13","5.840"
"Leopoldo de Bulhões (GO)","GO","7.148,96","5.321,18","1.827,78","7.218"
"Braganey (PR)","PR","7.937,81","5.320,77","2.617,04","4.963"
"Francinópolis (PI)","PI","8.080,57","5.242,03","2.838,54","5.055"
"Monte Alegre do Piauí (PI)","PI","8.060,55","5.222,01","2.838,54","10.184"
"Jenipapo de Minas (MG)","MG","7.659,46","5.218,35","2.441,11","7.489"
"Quixaba (PB)","PB","7.613,30","5.206,45","2.406,85","1.931"
"Bom Jardim (MA)","MA","7.509,46","5.155,49","2.353,97","40.637"
"Perolândia (GO)","GO","5.852,94","5.124,79","728,15","2.985"
"Apiacás (MT)","MT","7.973,12","4.982,95","2.990,17","9.820"
"Paragominas (PA)","PA","5.916,32","4.945,71","970,61","112.596"
"Sarapuí (SP)","SP","6.538,75","4.938,37","1.600,38","9.886"
"Bacabeira (MA)","MA","6.107,74","4.919,40","1.188,34","16.958"
"São Félix do Piauí (PI)","PI","7.340,59","4.871,16","2.469,43","2.749"
"Bonito (BA)","BA","7.219,49","4.829,14","2.390,35","16.454"
"Abatiá (PR)","PR","7.314,56","4.826,23","2.488,33","6.867"
"Peri Mirim (MA)","MA","7.080,86","4.813,92","2.266,95","13.825"
"Rafael Godeiro (RN)","RN","5.904,13","4.812,47","1.091,67","3.031"
"Mangaratiba (RJ)","RJ","7.289,77","4.795,67","2.494,10","43.263"
"Irauçuba (CE)","CE","6.524,54","4.753,63","1.770,91","23.512"
"Deputado Irapuan Pinheiro (CE)","CE","6.612,95","4.750,18","1.862,77","9.151"
"Terezinha (PE)","PE","6.471,05","4.736,02","1.735,02","6.922"
"Pariconha (AL)","AL","7.087,82","4.707,45","2.380,38","10.179"
"Apuiarés (CE)","CE","6.017,04","4.704,65","1.312,38","14.028"
"Água Azul do Norte (PA)","PA","7.404,97","4.697,96","2.707,01","26.955"
"Campo Florido (MG)","MG","7.004,24","4.656,87","2.347,37","8.035"
"Pescador (MG)","MG","5.336,78","4.641,64","695,14","4.035"
"Santa Bárbara do Monte Verde (MG)","MG","7.204,79","4.622,49","2.582,30","2.975"
"Cachoeira Dourada (GO)","GO","5.845,18","4.614,70","1.230,48","7.496"
"Senador José Bento (MG)","MG","6.468,31","4.602,74","1.865,57","1.301"
"Vicente Dutra (RS)","RS","6.502,17","4.582,42","1.919,75","4.246"
"Tapejara (PR)","PR","6.359,43","4.559,56","1.799,87","15.658"
"Jundiaí do Sul (PR)","PR","6.596,99","4.544,50","2.052,49","3.013"
"Icatu (MA)","MA","6.900,29","4.543,52","2.356,77","26.569"
"Barra de São Miguel (AL)","AL","6.780,38","4.534,36","2.246,02","8.164"
"Cruzília (MG)","MG","6.768,31","4.473,68","2.294,63","14.517"
"Gramado dos Loureiros (RS)","RS","6.500,41","4.464,51","2.035,90","1.869"
"Brejões (BA)","BA","6.466,09","4.451,47","2.014,61","13.489"
"Carutapera (MA)","MA","6.884,34","4.442,40","2.441,93","23.408"
"Wanderley (BA)","BA","6.334,49","4.441,82","1.892,66","11.541"
"São João da Mata (MG)","MG","7.015,14","4.424,27","2.590,87","2.537"
"Derrubadas (RS)","RS","5.876,86","4.416,50","1.460,36","2.508"
"São Francisco de Goiás (GO)","GO","6.089,47","4.407,61","1.681,86","5.868"
"Satubinha (MA)","MA","6.753,80","4.406,43","2.347,37","13.878"
