"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Antônio Prado de Minas (MG)","MG","6","752","797,9"
"Borá (SP)","SP","3","402","746,3"
"Ivorá (RS)","RS","6","933","643,1"
"Queluzito (MG)","MG","6","934","642,4"
"Cumaru (PE)","PE","29","4.830","600,4"
"Lajeado Grande (SC)","SC","4","698","573,1"
"União Paulista (SP)","SP","5","894","559,3"
"Guaporema (PR)","PR","6","1.086","552,5"
"Alto Bela Vista (SC)","SC","5","954","524,1"
"Quarto Centenário (PR)","PR","12","2.292","523,6"
"Guarará (MG)","MG","10","1.937","516,3"
"Ângulo (PR)","PR","7","1.415","494,7"
"São Sebastião da Vargem Alegre (MG)","MG","7","1.431","489,2"
"Mato Grosso (PB)","PB","7","1.460","479,5"
"Argirita (MG)","MG","6","1.316","455,9"
"Embaúba (SP)","SP","5","1.158","431,8"
"Chiador (MG)","MG","6","1.403","427,7"
"Capão Alto (SC)","SC","5","1.190","420,2"
"Enéas Marques (PR)","PR","11","2.903","378,9"
"Fortaleza do Tabocão (TO)","TO","5","1.333","375,1"
"Palma (MG)","MG","12","3.201","374,9"
"Torre de Pedra (SP)","SP","4","1.087","368,0"
"Patrocínio do Muriaé (MG)","MG","10","2.825","354,0"
"Novo Xingu (RS)","RS","3","879","341,3"
"Santo Inácio (PR)","PR","9","2.665","337,7"
"Guapirama (PR)","PR","6","1.888","317,8"
"Três Forquilhas (RS)","RS","4","1.265","316,2"
"Ibiam (SC)","SC","3","983","305,2"
"São José do Inhacorá (RS)","RS","3","988","303,6"
"Ritápolis (MG)","MG","7","2.307","303,4"
"Campestre da Serra (RS)","RS","5","1.664","300,5"
"André da Rocha (RS)","RS","2","666","300,3"
"Belmiro Braga (MG)","MG","5","1.670","299,4"
"Riacho de Santo Antônio (PB)","PB","3","1.004","298,8"
"Boa Vista (PB)","PB","11","3.686","298,4"
"Juranda (PR)","PR","11","3.695","297,7"
"Boa Esperança (PR)","PR","6","2.033","295,1"
"Veríssimo (MG)","MG","6","2.041","294,0"
"Salgado Filho (PR)","PR","5","1.701","293,9"
"Flora Rica (SP)","SP","2","683","292,8"
"Santana da Ponte Pensa (SP)","SP","2","690","289,9"
"Pirapetinga (MG)","MG","16","5.557","287,9"
"Grupiara (MG)","MG","2","696","287,4"
