"Municípios","UF","Número de Óbitos","População","Taxa a cada 100 mil hab."
"Borá (SP)","SP","1","402","248,8"
"São Miguel da Boa Vista (SC)","SC","2","868","230,4"
"Argirita (MG)","MG","3","1.316","228,0"
"Fortaleza do Tabocão (TO)","TO","3","1.333","225,1"
"Anhanguera (GO)","GO","1","580","172,4"
"Morro da Garça (MG)","MG","2","1.177","169,9"
"Pedranópolis (SP)","SP","2","1.197","167,1"
"Fama (MG)","MG","2","1.209","165,4"
"Belmonte (SC)","SC","2","1.259","158,9"
"São Valério do Sul (RS)","RS","2","1.305","153,3"
"Três Arroios (RS)","RS","2","1.334","149,9"
"São Luis do Piauí (PI)","PI","2","1.341","149,1"
"São João da Paraúna (GO)","GO","1","683","146,4"
"Centenário (RS)","RS","2","1.376","145,3"
"Saltinho (SP)","SP","6","4.282","140,1"
"Guabiju (RS)","RS","1","714","140,1"
"Dilermando de Aguiar (RS)","RS","2","1.454","137,6"
"Buritizal (SP)","SP","3","2.188","137,1"
"Ponte Branca (MT)","MT","1","744","134,4"
"Vila Nova do Piauí (PI)","PI","2","1.494","133,9"
"Canudos do Vale (RS)","RS","1","778","128,5"
"Pouso Novo (RS)","RS","1","790","126,6"
"Olaria (MG)","MG","1","791","126,4"
"Ibiaçá (RS)","RS","3","2.380","126,1"
"Castelândia (GO)","GO","2","1.611","124,1"
"Turmalina (SP)","SP","1","835","119,8"
"Fernão (SP)","SP","1","849","117,8"
"Dores de Guanhães (MG)","MG","3","2.587","116,0"
"Ponte Alta do Norte (SC)","SC","2","1.730","115,6"
"Novo Xingu (RS)","RS","1","879","113,8"
"União Paulista (SP)","SP","1","894","111,9"
"Taquarussu (MS)","MS","2","1.793","111,5"
"Sério (RS)","RS","1","902","110,9"
"Alvorada de Minas (MG)","MG","2","1.840","108,7"
"Nazaré (TO)","TO","2","1.862","107,4"
"Queluzito (MG)","MG","1","934","107,1"
"Xavantina (SC)","SC","2","1.877","106,6"
"Guapirama (PR)","PR","2","1.888","105,9"
"Santa Cruz de Monte Castelo (PR)","PR","4","3.850","103,9"
"Enéas Marques (PR)","PR","3","2.903","103,3"
"Pilões (RN)","RN","2","1.961","102,0"
"Doutor Ricardo (RS)","RS","1","981","101,9"
"Vila Lângaro (RS)","RS","1","987","101,3"
"Cafezal do Sul (PR)","PR","2","2.003","99,9"
"Senador Cortes (MG)","MG","1","1.007","99,3"
"Inúbia Paulista (SP)","SP","2","2.021","99,0"
"Ewbank da Câmara (MG)","MG","2","2.028","98,6"
"Populina (SP)","SP","2","2.033","98,4"
"Pilar de Goiás (GO)","GO","1","1.025","97,6"
"Santo Antônio do Paraíso (PR)","PR","1","1.056","94,7"
"Nova Itaberaba (SC)","SC","2","2.113","94,7"
"Amaporã (PR)","PR","3","3.171","94,6"
"Poço das Antas (RS)","RS","1","1.060","94,3"
"Califórnia (PR)","PR","4","4.287","93,3"
"Itapirapuã (GO)","GO","2","2.164","92,4"
"Silveirânia (MG)","MG","1","1.084","92,3"
"Torre de Pedra (SP)","SP","1","1.087","92,0"
"Santa Bárbara do Tugúrio (MG)","MG","2","2.188","91,4"
"Dueré (TO)","TO","2","2.199","91,0"
"Iracema do Oeste (PR)","PR","1","1.107","90,3"
"Coronel Macedo (SP)","SP","2","2.230","89,7"
"Rio Fortuna (SC)","SC","2","2.235","89,5"
"Brasilândia do Tocantins (TO)","TO","1","1.119","89,4"
"São Cristóvão do Sul (SC)","SC","2","2.280","87,7"
"Cerro Grande (RS)","RS","1","1.143","87,5"
"Coronel José Dias (PI)","PI","2","2.292","87,3"
"Dezesseis de Novembro (RS)","RS","1","1.148","87,1"
"Forquetinha (RS)","RS","1","1.148","87,1"
"Unistalda (RS)","RS","1","1.152","86,8"
"Fazenda Vilanova (RS)","RS","2","2.309","86,6"
"Mato Leitão (RS)","RS","2","2.309","86,6"
"Nova Guataporanga (SP)","SP","1","1.158","86,4"
"Itaguari (GO)","GO","2","2.332","85,8"
"Mata (RS)","RS","2","2.341","85,4"
"Paulo Frontin (PR)","PR","3","3.561","84,2"
"Silveira Martins (RS)","RS","1","1.198","83,5"
"Avelinópolis (GO)","GO","1","1.200","83,3"
"Jatobá do Piauí (PI)","PI","2","2.401","83,3"
"Júlio Mesquita (SP)","SP","2","2.409","83,0"
"Lunardelli (PR)","PR","2","2.418","82,7"
"Rio Rufino (SC)","SC","1","1.211","82,6"
"Paulistas (MG)","MG","2","2.439","82,0"
"São José do Hortêncio (RS)","RS","2","2.439","82,0"
"Santo André (PB)","PB","1","1.232","81,2"
"Algodão de Jandaíra (PB)","PB","1","1.239","80,7"
"Araçaí (MG)","MG","1","1.245","80,3"
"Monte Belo do Sul (RS)","RS","1","1.248","80,1"
"São Felipe D'Oeste (RO)","RO","2","2.497","80,1"
"Porto Rico (PR)","PR","1","1.254","79,7"
"Passagem (PB)","PB","1","1.261","79,3"
"Santo Antônio das Missões (RS)","RS","4","5.052","79,2"
"São Nicolau (RS)","RS","2","2.554","78,3"
"Floresta do Piauí (PI)","PI","1","1.287","77,7"
"Boa Vista do Sul (RS)","RS","1","1.287","77,7"
"Selbach (RS)","RS","2","2.593","77,1"
"Piraquê (TO)","TO","1","1.302","76,8"
"Olho D'Água do Piauí (PI)","PI","1","1.315","76,0"
"Planalto da Serra (MT)","MT","1","1.320","75,8"
"Santa Cruz do Xingu (MT)","MT","1","1.327","75,4"
"Entre Rios do Sul (RS)","RS","1","1.332","75,1"
"Campina das Missões (RS)","RS","2","2.667","75,0"
"Lastro (PB)","PB","1","1.340","74,6"
"São Bento do Norte (RN)","RN","1","1.340","74,6"
"São Bonifácio (SC)","SC","1","1.341","74,6"
"Córrego Novo (MG)","MG","1","1.342","74,5"
"Nova Candelária (RS)","RS","1","1.345","74,3"
"Marmelópolis (MG)","MG","1","1.346","74,3"
"Caiana (MG)","MG","2","2.696","74,2"
"Machadinho (RS)","RS","2","2.710","73,8"
"Bilac (SP)","SP","3","4.075","73,6"
"Derrubadas (RS)","RS","1","1.360","73,5"
"Senador Salgado Filho (RS)","RS","1","1.362","73,4"
"Peritiba (SC)","SC","1","1.362","73,4"
"Iepê (SP)","SP","3","4.108","73,0"
"Tiradentes do Sul (RS)","RS","2","2.741","73,0"
"São Miguel dos Milagres (AL)","AL","3","4.113","72,9"
"Mendonça (SP)","SP","2","2.745","72,9"
"Brejo Grande (SE)","SE","3","4.121","72,8"
"Carnaúba dos Dantas (RN)","RN","3","4.126","72,7"
"Arantina (MG)","MG","1","1.381","72,4"
"Camargo (RS)","RS","1","1.381","72,4"
"Maripá (PR)","PR","2","2.766","72,3"
"Ipiguá (SP)","SP","2","2.776","72,0"
"Planalto Alegre (SC)","SC","1","1.395","71,7"
"Anahy (PR)","PR","1","1.397","71,6"
"Vista Alegre (RS)","RS","1","1.398","71,5"
"Nova Santa Rosa (PR)","PR","3","4.197","71,5"
"Adrianópolis (PR)","PR","2","2.800","71,4"
"Chiador (MG)","MG","1","1.403","71,3"
"Arroio do Padre (RS)","RS","1","1.407","71,1"
"Godoy Moreira (PR)","PR","1","1.409","71,0"
"Patrocínio do Muriaé (MG)","MG","2","2.825","70,8"
"Pratápolis (MG)","MG","3","4.238","70,8"
"João Costa (PI)","PI","1","1.421","70,4"
"Aramina (SP)","SP","2","2.845","70,3"
"Serra de São Bento (RN)","RN","2","2.854","70,1"
"Bandeira do Sul (MG)","MG","2","2.857","70,0"
"Cristal do Sul (RS)","RS","1","1.429","70,0"
"Morrinhos do Sul (RS)","RS","1","1.429","70,0"
"Cascalho Rico (MG)","MG","1","1.433","69,8"
"Ipiranga de Goiás (GO)","GO","1","1.438","69,5"
"Quaraí (RS)","RS","8","11.537","69,3"
"Ibituruna (MG)","MG","1","1.460","68,5"
"Macuco (RJ)","RJ","2","2.921","68,5"
"Dourado (SP)","SP","3","4.427","67,8"
"Douradina (MS)","MS","2","2.957","67,6"
"Tucunduva (RS)","RS","2","2.961","67,5"
"Presidente Kubitschek (MG)","MG","1","1.481","67,5"
"Abaíra (BA)","BA","3","4.454","67,4"
"Rio das Antas (SC)","SC","2","2.990","66,9"
"Ibicaré (SC)","SC","1","1.497","66,8"
"Dona Francisca (RS)","RS","1","1.501","66,6"
"Santo Hipólito (MG)","MG","1","1.504","66,5"
"Porto Barreiro (PR)","PR","1","1.512","66,1"
"Rio Bom (PR)","PR","1","1.512","66,1"
"Jardim de Piranhas (RN)","RN","5","7.598","65,8"
"Santa Bárbara do Monte Verde (MG)","MG","1","1.528","65,4"
"Vale Real (RS)","RS","2","3.056","65,4"
"Damolândia (GO)","GO","1","1.533","65,2"
"São Domingos do Sul (RS)","RS","1","1.537","65,1"
"Palhano (CE)","CE","3","4.639","64,7"
"São João do Oeste (SC)","SC","2","3.100","64,5"
"Chapada da Natividade (TO)","TO","1","1.554","64,4"
"Cambará do Sul (RS)","RS","2","3.109","64,3"
"Salto do Jacuí (RS)","RS","4","6.253","64,0"
"Mormaço (RS)","RS","1","1.565","63,9"
"Santa Maria da Serra (SP)","SP","2","3.131","63,9"
"Potiretama (CE)","CE","2","3.134","63,8"
"Nazário (GO)","GO","3","4.707","63,7"
"Professor Jamil (GO)","GO","1","1.571","63,7"
"Taciba (SP)","SP","2","3.145","63,6"
"Baixio (CE)","CE","2","3.152","63,5"
"Ernestina (RS)","RS","1","1.576","63,5"
"Lajeado (TO)","TO","1","1.576","63,5"
"Vera Mendes (PI)","PI","1","1.579","63,3"
"Grão Pará (SC)","SC","2","3.163","63,2"
